question_id,question,arxiv_id,architecture,answer,faithfulness,answer_relevancy,context_precision,judge_factuality,judge_relevance,judge_citation,latency_ms,eval_method,tool_calls,hyp_answer
0,What is the name of the framework proposed by the authors to combine agentic and latent visual reasoning methods?,2605.15198v1,vanilla_rag,"The name of the framework proposed by the authors to combine agentic and latent visual reasoning methods is ATLAS. This is supported by the passage: ""To combine their strengths while mitigating their limitations, we propose ATLAS, a framework in which a single discrete 'word', termed as a functional token, serves both as an agentic operation and a latent visual reasoning unit.""",1.0,1.0,1.0,5,5,5,14294.9,llm_fallback,[],
0,What is the name of the framework proposed by the authors to combine agentic and latent visual reasoning methods?,2605.15198v1,hyde_rag,"The name of the framework proposed by the authors to combine agentic and latent visual reasoning methods is ATLAS. This is supported by the passage: ""To combine their strengths while mitigating their limitations, we propose ATLAS, a framework in which a single discrete 'word', termed as a functional token, serves both as an agentic operation and a latent visual reasoning unit.""",1.0,1.0,1.0,5,5,5,3646.0,llm_fallback,[],"The authors propose a novel framework termed the **Agentic Latent Visual Reasoning (ALVR)** model, which synergistically integrates agentic reasoning processes with latent visual representation techni"
0,What is the name of the framework proposed by the authors to combine agentic and latent visual reasoning methods?,2605.15198v1,graph_rag,"The framework proposed by the authors to combine agentic and latent visual reasoning methods is called ATLAS. This framework utilizes a single discrete 'word', termed as a functional token, which serves both as an agentic operation and a latent visual reasoning unit. The aim of ATLAS is to leverage the strengths of both approaches while mitigating their limitations, as discussed in the context of modern image editing models and their challenges with abstract, multi-step instructions (as mentione",1.0,1.0,1.0,5,5,4,3928.2,llm_fallback,[],
0,What is the name of the framework proposed by the authors to combine agentic and latent visual reasoning methods?,2605.15198v1,agentic_rag,"The framework proposed by the authors to combine agentic and latent visual reasoning methods is called ATLAS. This framework utilizes a single discrete 'word', referred to as a functional token, which serves both as an agentic operation and a latent visual reasoning unit.",0.0,1.0,0.0,1,2,1,11614.9,llm_fallback,"[{""step"": 1, ""action"": ""search_by_keyword(\""agentic latent visual reasoning framework\"")"", ""input"": ""\""agentic latent visual reasoning framework\"""", ""result"": ""No papers found matching keyword '\""agentic latent visual reasoning framework\""'.""}, {""step"": 2, ""action"": ""search_by_keyword(\""agentic visual reasoning\"")"", ""input"": ""\""agentic visual reasoning\"""", ""result"": ""No papers found matching keyword '\""agentic visual reasoning\""'.""}, {""step"": 3, ""action"": ""search_by_keyword(\""latent visual reasoning\"")"", ""input"": ""\""latent visual reasoning\"""", ""result"": ""No papers found matching keyword '\""latent visual reasoning\""'.""}, {""step"": 4, ""action"": ""vector_search(\""visual reasoning framework\"")"", ""input"": ""\""visual reasoning framework\"""", ""result"": ""[Chunk 1 | ATLAS: Agentic or Latent Visual Reasoning? One Word is Enough for Both (2605.15198v1) | score=0.5632]\nVisual reasoning, often interleaved with intermediate visual states, has emerged as a promising direction in the field. A straightforward approach is to directly generate images via unifi""}, {""step"": 5, ""action"": ""fetch_paper_by_id(\""2605.15198v1\"")"", ""input"": ""\""2605.15198v1\"""", ""result"": ""[ATLAS: Agentic or Latent Visual Reasoning? One Word is Enough for Both (2605.15198v1)]\n\nVisual reasoning, often interleaved with intermediate visual states, has emerged as a promising direction in the field. A straightforward approach is to directly generate images via unified models during reasoni""}]",
1,What is the main contribution of the paper 'Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls'?,2605.15197v1,vanilla_rag,"The main contribution of the paper 'Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls' is the presentation of a novel gauge-invariant and minimal formation mechanism of primordial black holes (PBHs) based on first-order tensor perturbations generated during first-order phase transitions (FOPT) and domain walls (DW). This mechanism is shown to imply model-independent constraints on FOPT parameters (β/H, α, T_{\star}) and on D. This is su",1.0,1.0,0.8,5,5,5,3082.0,llm_fallback,[],
1,What is the main contribution of the paper 'Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls'?,2605.15197v1,hyde_rag,"The main contribution of the paper 'Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls' is the presentation of a novel gauge-invariant and minimal formation mechanism of primordial black holes (PBHs) based on first-order tensor perturbations generated during first-order phase transitions (FOPT) and domain walls (DW). This mechanism is derived from bubble collisions and sound waves during FOPT, as well as from DW annihilation, and it sour",1.0,1.0,0.8,5,5,5,6049.5,llm_fallback,[],"The main contribution of the paper ""Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls"" lies in the elucidation of the mechanisms by which te"
1,What is the main contribution of the paper 'Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls'?,2605.15197v1,graph_rag,"The main contribution of the paper ""Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls"" is the presentation of a novel gauge-invariant and minimal mechanism for the formation of primordial black holes (PBHs) during first-order phase transitions (FOPT) and domain walls (DW). This mechanism is based on first-order tensor perturbations generated from bubble collisions and sound waves during FOPT, as well as from DW annihilation, which sourc",1.0,1.0,1.0,4,5,4,5119.8,llm_fallback,[],
1,What is the main contribution of the paper 'Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls'?,2605.15197v1,agentic_rag,"The paper ""Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls"" presents a novel gauge-invariant and minimal mechanism for the formation of primordial black holes (PBHs) during first-order phase transitions (FOPT) and domain walls (DW). It focuses on first-order tensor perturbations generated during FOPT from bubble collisions and sound waves, as well as from DW annihilation, which source curvature at second-order in perturbation theory. ",0.5,1.0,0.8,4,5,4,12280.7,llm_fallback,"[{""step"": 1, ""action"": ""search_by_keyword(\""Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls\"")"", ""input"": ""\""Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls\"""", ""result"": ""No papers found matching keyword '\""Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls\""'.""}, {""step"": 2, ""action"": ""vector_search(\""Primordial Black Hole Tensor-induced Density Fluctuation Phase Transitions Domain Walls\"")"", ""input"": ""\""Primordial Black Hole Tensor-induced Density Fluctuation Phase Transitions Domain Walls\"""", ""result"": ""[Chunk 1 | Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls (2605.15197v1) | score=0.7178]\nWe present a novel \\textit{gauge-invariant and minimal} formation mechanism of primordial black holes (PBHs) in first-order phase transition (FOPT) ""}, {""step"": 3, ""action"": ""fetch_paper_by_id(\""2605.15197v1\"")"", ""input"": ""\""2605.15197v1\"""", ""result"": ""[Primordial Black Hole from Tensor-induced Density Fluctuation: First-order Phase Transitions and Domain Walls (2605.15197v1)]\n\nWe present a novel \\textit{gauge-invariant and minimal} formation mechanism of primordial black holes (PBHs) in first-order phase transition (FOPT) and domain walls (DW) se""}]",
2,What is the maximum PSNR improvement achieved by RefDecoder over the unconditional baselines?,2605.15196v1,vanilla_rag,"The maximum PSNR improvement achieved by RefDecoder over the unconditional baselines is +2.1dB. This is supported by the passage: ""achieving up to +2.1dB PSNR over the unconditional baselines on the Inter4K, WebVid, and Large Motion reconstruction benchmarks.""",1.0,1.0,0.8,5,5,5,1522.4,llm_fallback,[],
2,What is the maximum PSNR improvement achieved by RefDecoder over the unconditional baselines?,2605.15196v1,hyde_rag,"The maximum PSNR improvement achieved by RefDecoder over the unconditional baselines is +2.1dB. This is supported by the passage: ""achieving up to +2.1dB PSNR over the unconditional baselines on the Inter4K, WebVid, and Large Motion reconstruction benchmarks.""",1.0,1.0,0.8,5,5,5,2560.3,llm_fallback,[],"In the conducted experiments, RefDecoder demonstrated a maximum Peak Signal-to-Noise Ratio (PSNR) improvement of 3.2 dB over the unconditional baselines. This enhancement can be attributed to the inco"
2,What is the maximum PSNR improvement achieved by RefDecoder over the unconditional baselines?,2605.15196v1,graph_rag,"RefDecoder achieves a maximum PSNR improvement of up to +2.1 dB over the unconditional baselines on the Inter4K, WebVid, and Large Motion reconstruction benchmarks. This improvement is reported in the context of its performance compared to existing video generation systems, as detailed in the paper ""RefDecoder: Enhancing Visual Generation with Conditional Video Decoding"" (arXiv: 2605.15196v1).",1.0,1.0,1.0,5,5,5,2928.1,llm_fallback,[],
